Date,Open,High,Low,Close,Volume,Market Cap
2018/1/4,"15,270.70","15,739.70","14,522.20","15,599.20","21,783,200,000.00","256,250,000,000.00"
2018/1/3,"14,978.20","15,572.80","14,844.50","15,201.00","16,871,900,000.00","251,312,000,000.00"
2018/1/2,"13,625.00","15,444.60","13,163.60","14,982.10","16,846,600,000.00","228,579,000,000.00"
2018/1/1,"14,112.20","14,112.20","13,154.70","13,657.20","10,291,200,000.00","236,725,000,000.00"
2017/12/31,"12,897.70","14,377.40","12,755.60","14,156.40","12,136,300,000.00","216,326,000,000.00"
2017/12/30,"14,681.90","14,681.90","12,350.10","12,952.20","14,452,600,000.00","246,224,000,000.00"
2017/12/29,"14,695.80","15,279.00","14,307.00","14,656.20","13,025,500,000.00","246,428,000,000.00"
2017/12/28,"15,864.10","15,888.40","13,937.30","14,606.50","12,336,500,000.00","265,988,000,000.00"
2017/12/27,"16,163.50","16,930.90","15,114.30","15,838.50","12,487,600,000.00","270,976,000,000.00"
2017/12/26,"14,036.60","16,461.20","14,028.90","16,099.80","13,454,300,000.00","235,294,000,000.00"
2017/12/25,"13,995.90","14,593.00","13,448.90","14,026.60","10,664,700,000.00","234,590,000,000.00"
2017/12/24,"14,608.20","14,626.00","12,747.70","13,925.80","11,572,300,000.00","244,824,000,000.00"
2017/12/23,"13,948.70","15,603.20","13,828.80","14,699.20","13,086,000,000.00","233,748,000,000.00"
2017/12/22,"15,898.00","15,943.40","11,833.00","13,831.80","22,198,000,000.00","266,381,000,000.00"
2017/12/21,"16,642.40","17,567.70","15,342.70","15,802.90","16,516,600,000.00","278,827,000,000.00"
2017/12/20,"17,760.30","17,934.70","16,077.70","16,624.60","22,149,700,000.00","297,526,000,000.00"
2017/12/19,"19,118.30","19,177.80","17,275.40","17,776.70","16,894,500,000.00","320,242,000,000.00"
2017/12/18,"19,106.40","19,371.00","18,355.90","19,114.20","14,839,500,000.00","320,000,000,000.00"
2017/12/17,"19,475.80","20,089.00","18,974.10","19,140.80","13,314,600,000.00","326,141,000,000.00"
2017/12/16,"17,760.30","19,716.70","17,515.30","19,497.40","12,740,600,000.00","297,376,000,000.00"
2017/12/15,"16,601.30","18,154.10","16,601.30","17,706.90","14,310,000,000.00","277,936,000,000.00"
2017/12/14,"16,384.60","17,085.80","16,185.90","16,564.00","13,777,400,000.00","274,269,000,000.00"
2017/12/13,"17,500.00","17,653.10","16,039.70","16,408.20","12,976,900,000.00","292,900,000,000.00"
2017/12/12,"16,919.80","17,781.80","16,571.60","17,415.40","14,603,800,000.00","283,155,000,000.00"
2017/12/11,"15,427.40","17,513.90","15,404.80","16,936.80","12,153,900,000.00","258,147,000,000.00"
2017/12/10,"15,168.40","15,850.60","13,226.60","15,455.40","13,433,300,000.00","253,782,000,000.00"
2017/12/9,"16,523.30","16,783.00","13,674.90","15,178.20","13,911,300,000.00","276,415,000,000.00"
2017/12/8,"17,802.90","18,353.40","14,336.90","16,569.40","21,136,000,000.00","297,787,000,000.00"
2017/12/7,"14,266.10","17,899.70","14,057.30","17,899.70","17,950,700,000.00","238,600,000,000.00"
